%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	1.0111	1.0111	1	n	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	candy1.jpg	candy1.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	0.8847	0.8847	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	H64.jpg	H64.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	1.2639	1.2639	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	candy2.jpg	candy2.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	0.8847	0.8847	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	L82.jpg	L82.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	0.8847	0.8847	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	candy3.jpg	candy3.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
%							0		0	0			
