jitter_duration,background_color,reappraise_or_look,image_file
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave02.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral04.jpg
1.2639,#00cd00,Resources/look.jpg,Resources/crave16.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave11.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral08.jpg
1.5167,#00cd00,Resources/look.jpg,Resources/nocrave08.jpg
1.2639,#00cd00,Resources/look.jpg,Resources/crave30.jpg
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave38.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/nocrave11.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/nocrave15.jpg
0.7583,#0000ff,Resources/reappraise.jpg,Resources/crave33.jpg
0.8847,#0000ff,Resources/reappraise.jpg,Resources/crave32.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave31.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral17.jpg
1.2639,#00cd00,Resources/look.jpg,Resources/neutral16.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/crave19.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave01.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/neutral09.jpg
0.8847,#0000ff,Resources/reappraise.jpg,Resources/crave29.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave15.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave18.jpg
1.5167,#00cd00,Resources/look.jpg,Resources/neutral13.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave10.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/crave25.jpg
1.2639,#0000ff,Resources/reappraise.jpg,Resources/crave27.jpg
2.0223,#00cd00,Resources/look.jpg,Resources/neutral14.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave05.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/nocrave19.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral12.jpg
0.8847,#0000ff,Resources/reappraise.jpg,Resources/crave12.jpg
1.0111,#00cd00,Resources/look.jpg,Resources/nocrave02.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave13.jpg
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave37.jpg
1.0111,#0000ff,Resources/reappraise.jpg,Resources/crave14.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/crave03.jpg
0.7583,#00cd00,Resources/look.jpg,Resources/crave18.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral10.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/neutral03.jpg
0.8847,#00cd00,Resources/look.jpg,Resources/nocrave05.jpg
0.8847,#0000ff,Resources/reappraise.jpg,Resources/crave39.jpg
