%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	1.0111	1.0111	1	n	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave02.jpg	crave02.jpg			4
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			4
s	1	0	0.8847	0.8847	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral04.jpg	neutral04.jpg			1
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			1
s	1	0	1.2639	1.2639	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	crave16.jpg	crave16.jpg			3
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			3
s	1	0	0.8847	0.8847	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	crave11.jpg	crave11.jpg			3
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			3
s	1	0	0.8847	0.8847	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral08.jpg	neutral08.jpg			1
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			1
s	1	0	1.5167	1.5167	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	nocrave08.jpg	nocrave08.jpg			2
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			2
s	1	0	1.2639	1.2639	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	crave30.jpg	crave30.jpg			3
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			3
s	1	0	1.0111	1.0111	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave38.jpg	crave38.jpg			4
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			4
s	1	0	1.0111	1.0111	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	nocrave11.jpg	nocrave11.jpg			2
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			2
s	1	0	1.0111	1.0111	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	nocrave15.jpg	nocrave15.jpg			2
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			2
s	1	0	0.7583	0.7583	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave33.jpg	crave33.jpg			4
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			4
s	1	0	0.8847	0.8847	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave32.jpg	crave32.jpg			4
s	1	0	4	4	1	"""12345"""	p	p	rate.jpg	rate.jpg			4
s	1	0	0.8847	0.8847	1	"""12345"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
