%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	4.3202	4.3202	1	n	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave35.jpg	crave35.jpg			4
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			4
s	1	0	3.5192	3.5192	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral06.jpg	neutral06.jpg			1
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			1
s	1	0	4.0683	4.0683	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	nocrave04.jpg	nocrave04.jpg			2
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			2
s	1	0	3.8414	3.8414	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	crave09.jpg	crave09.jpg			3
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			3
s	1	0	3.3482	3.3482	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	crave21.jpg	crave21.jpg			3
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			3
s	1	0	5.2691	5.2691	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral15.jpg	neutral15.jpg			1
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			1
s	1	0	5.5	5.5	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral07.jpg	neutral07.jpg			1
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			1
s	1	0	5.5	5.5	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave26.jpg	crave26.jpg			4
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			4
s	1	0	2.7788	2.7788	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave23.jpg	crave23.jpg			4
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			4
s	1	0	2.5387	2.5387	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	nocrave07.jpg	nocrave07.jpg			2
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			2
s	1	0	4.4633	4.4633	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	crave22.jpg	crave22.jpg			3
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			3
s	1	0	4.7267	4.7267	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	nocrave16.jpg	nocrave16.jpg			2
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			2
s	1	0	3.6887	3.6887	1	5678	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral19.jpg	neutral19.jpg			1
s	1	0	2.5	2.5	1	5678	p	p	rate.jpg	rate.jpg			1
