jitter_duration,background_color,reappraise_or_look,image_file
4.3202,#00cd00,Resources/look.jpg,Resources/nocrave20.jpg
3.5192,#00cd00,Resources/look.jpg,Resources/neutral05.jpg
4.0683,#00cd00,Resources/look.jpg,Resources/crave06.jpg
3.8414,#00cd00,Resources/look.jpg,Resources/crave07.jpg
3.3482,#00cd00,Resources/look.jpg,Resources/neutral18.jpg
5.2691,#00cd00,Resources/look.jpg,Resources/neutral11.jpg
5.5,#0000ff,Resources/reappraise.jpg,Resources/crave17.jpg
5.5,#0000ff,Resources/reappraise.jpg,Resources/crave36.jpg
2.7788,#00cd00,Resources/look.jpg,Resources/nocrave14.jpg
2.5387,#00cd00,Resources/look.jpg,Resources/nocrave12.jpg
4.4633,#0000ff,Resources/reappraise.jpg,Resources/crave40.jpg
4.7267,#00cd00,Resources/look.jpg,Resources/crave34.jpg
3.6887,#00cd00,Resources/look.jpg,Resources/nocrave17.jpg
4.2202,#00cd00,Resources/look.jpg,Resources/neutral20.jpg
4.0206,#00cd00,Resources/look.jpg,Resources/crave20.jpg
4.8144,#0000ff,Resources/reappraise.jpg,Resources/crave13.jpg
3.8904,#00cd00,Resources/look.jpg,Resources/crave08.jpg
5.1556,#00cd00,Resources/look.jpg,Resources/nocrave03.jpg
3.154,#00cd00,Resources/look.jpg,Resources/neutral02.jpg
3.0302,#0000ff,Resources/reappraise.jpg,Resources/crave01.jpg
