%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v	tag
s	1	0	2.5278	2.5278	1	n	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave30.jpg	crave30.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	2.5278	2.5278	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral10.jpg	neutral10.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	nocrave01.jpg	nocrave01.jpg			3
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			3
s	1	0	3.0334	3.0334	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave31.jpg	crave31.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave20.jpg	nocrave20.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave14.jpg	crave14.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	1.7695	1.7695	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	nocrave33.jpg	nocrave33.jpg			3
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			3
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	nocrave07.jpg	nocrave07.jpg			3
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			3
s	1	0	3.0334	3.0334	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral07.jpg	neutral07.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	3.0334	3.0334	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave08.jpg	crave08.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave04.jpg	nocrave04.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	4.0445	4.0445	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave16.jpg	crave16.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	3.0334	3.0334	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave05.jpg	nocrave05.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	1.7695	1.7695	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral15.jpg	neutral15.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave32.jpg	crave32.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral08.jpg	neutral08.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	1.7695	1.7695	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave07.jpg	crave07.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	3.0334	3.0334	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave27.jpg	nocrave27.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave15.jpg	crave15.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	2.5278	2.5278	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave11.jpg	nocrave11.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave20.jpg	crave20.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave06.jpg	nocrave06.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	2.5278	2.5278	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave01.jpg	crave01.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	3.0334	3.0334	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	nocrave34.jpg	nocrave34.jpg			3
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			3
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave05.jpg	crave05.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			4
s	1	0	5	5	1	n	p	p	crave09.jpg	crave09.jpg			4
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			4
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	nocrave24.jpg	nocrave24.jpg			3
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			3
s	1	0	1.7695	1.7695	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			3
s	1	0	5	5	1	n	p	p	nocrave40.jpg	nocrave40.jpg			3
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			3
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave10.jpg	nocrave10.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave10.jpg	crave10.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	2.0223	2.0223	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			2
s	1	0	5	5	1	n	p	p	crave22.jpg	crave22.jpg			2
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			2
s	1	0	1.5167	1.5167	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	look.jpg	look.jpg			1
s	1	0	5	5	1	n	p	p	neutral05.jpg	neutral05.jpg			1
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			1
s	1	0	1.7695	1.7695	1	"""56789"""	p	p	fix.jpg	fix.jpg			
s	1	0	2	2	1	n	p	p	reappraise.jpg	reappraise.jpg			5
s	1	0	5	5	1	n	p	p	nocrave15.jpg	nocrave15.jpg			5
s	1	0	4	4	1	"""56789"""	p	p	rate.jpg	rate.jpg			5
s	1	0	1.9677	1.9677	1	"""56789"""	p	p	fix.jpg	fix.jpg			
%							0		0	0			
